lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0008,128,16,7,4,2,1,1,0.0,0,CS2_35,0.0147364301296571,0.0045619637181516,0.8854869335940169,0.0675423105775311,11,1.5794827938079834
0.0008,128,16,7,4,2,1,1,0.0,0,CS2_36,0.0228562518333395,0.0228823774959892,0.9335331917119624,0.15126922190581,3,1.531384585038671
0.0008,128,16,7,4,2,1,1,0.0,0,CS2_37,0.0257554603740572,0.002360259204579,0.8680112094148029,0.0485824989536258,3,1.6549822924272068
0.0008,128,16,7,4,2,1,1,0.0,0,CS2_38,0.0142858465468244,0.0012701002730561,0.8724208069068854,0.0356384661995449,5,1.684791018746116
0.0008,128,16,7,4,2,1,1,0.05,0,CS2_35,0.0149160027814408,0.0047975511988624,0.0409328190347936,0.0686569468632453,11,1.610795193031186
0.0008,128,16,7,4,2,1,1,0.05,0,CS2_36,0.0223052387746671,0.0134590646484866,0.08487471468093,0.1144503345430066,5,1.525272512435913
0.0008,128,16,7,4,2,1,1,0.05,0,CS2_37,0.0117306236975959,0.0029343954956857,0.0400838027721455,0.053423402188907,14,1.596889901906252
0.0008,128,16,7,4,2,1,1,0.05,0,CS2_38,0.0150962295010685,0.0018691357884866,0.0656291917519922,0.040666647726537,6,1.6409761692796434
0.0008,128,16,7,4,2,1,1,0.1,0,CS2_35,0.0141546492775281,0.0060530098387971,0.0255796124151305,0.0773794427789842,24,1.6058572272996643
0.0008,128,16,7,4,2,1,1,0.1,0,CS2_36,0.0376030321543415,0.0069574080407619,0.1197678926362708,0.0743167079381797,5,1.5109660452062434
0.0008,128,16,7,4,2,1,1,0.1,0,CS2_37,0.0165615729056298,0.0017607973131816,0.0562027732406657,0.0380121310120878,6,1.5642031473772866
0.0008,128,16,7,4,2,1,1,0.1,0,CS2_38,0.016317604309214,0.0017682788505529,0.0674459272958712,0.036240634502578,5,1.6212970473549582
0.0008,128,16,7,4,2,1,1,0.15,0,CS2_35,0.0162201211166878,0.004510630108416,0.0557741970423854,0.0635925773329717,6,1.637752400977271
0.0008,128,16,7,4,2,1,1,0.15,0,CS2_36,0.0047954950326432,0.0278987839119508,0.0333399482356961,0.16652942993914,14,1.5973668806254864
0.0008,128,16,7,4,2,1,1,0.15,0,CS2_37,0.0115791979644979,0.0033576540202678,0.0334847252381854,0.0564753919957069,14,3.505413416773081
0.0008,128,16,7,4,2,1,1,0.15,0,CS2_38,0.0148853553192956,0.0024140613095369,0.0383867244607395,0.0468298001635575,9,4.18919794438249
0.0008,128,16,7,4,2,1,1,0.2,0,CS2_35,0.0113593249581754,0.0078858882188797,0.0404625659322326,0.0869393139225463,12,4.270044868992221
0.0008,128,16,7,4,2,1,1,0.2,0,CS2_36,0.0031543621482948,0.0377241860842332,0.0274385461889653,0.19383913575143,14,4.05904134362936
0.0008,128,16,7,4,2,1,1,0.2,0,CS2_37,0.0115781116099762,0.0035047088264642,0.0376006559727587,0.0567621965540231,16,4.182428587566722
0.0008,128,16,7,4,2,1,1,0.2,0,CS2_38,0.015810415082212,0.0045489268571448,0.0464811378458442,0.0641625101926205,9,4.1987600528587725
0.0008,128,16,7,4,2,1,1,0.25,0,CS2_35,0.0146000172321995,0.0055184626020491,0.0302833913774491,0.0727268291816919,11,4.251975161130311
0.0008,128,16,7,4,2,1,1,0.25,0,CS2_36,0.0463418277601401,0.0241902074776589,0.1393261688883757,0.139058487126363,6,4.0859925746917725
0.0008,128,16,7,4,2,1,1,0.25,0,CS2_37,0.0146671766415238,0.0026856174323863,0.0353745677367787,0.0487111632397609,14,4.188249930739403
0.0008,128,16,7,4,2,1,1,0.25,0,CS2_38,0.0157505795359611,0.0019242228202832,0.0644205828839037,0.0297778427497566,5,4.076594101298939
0.0008,128,16,7,4,2,1,1,0.3,0,CS2_35,0.0134175137927134,0.0098264242988079,0.0308822982036219,0.0976745075801836,17,4.248442429215161
0.0008,128,16,7,4,2,1,1,0.3,0,CS2_36,0.00125433182111,0.0416230412665754,0.0200307746986855,0.2037220431141529,74,4.0722858809655715
0.0008,128,16,7,4,2,1,1,0.3,0,CS2_37,0.0113332511058875,0.0032624070105763,0.0282261695618544,0.0549853798034109,22,4.171081264813741
0.0008,128,16,7,4,2,1,1,0.3,0,CS2_38,0.0163073636857526,0.0031554541783407,0.0635260184513806,0.0440997467347472,5,4.207958780635487
0.0008,128,16,7,4,2,1,1,0.35,0,CS2_35,0.0159327768410245,0.0072191788116469,0.0460783847459209,0.0804739253685337,9,4.248791472386506
0.0008,128,16,7,4,2,1,1,0.35,0,CS2_36,0.0034535727308442,0.0348622854799032,0.0257951121678198,0.1860897614221181,14,3.5335245989263058
0.0008,128,16,7,4,2,1,1,0.35,0,CS2_37,0.0140891911994133,0.00261509946237,0.0351884470139344,0.0467088868921227,22,1.68350574043062
0.0008,128,16,7,4,2,1,1,0.35,0,CS2_38,0.0187368168761687,0.0023420172704694,0.0467209086933105,0.0397243260577852,6,1.6669501321656364
0.0008,128,16,7,4,2,1,1,0.4,0,CS2_35,0.038711554929614,0.0059740080032497,0.0804020266781709,0.0582083642524843,5,1.764426699551669
0.0008,128,16,7,4,2,1,1,0.4,0,CS2_36,0.0040369380265474,0.0338002700591459,0.0353092809301489,0.1824871826998641,14,1.6620612666010857
0.0008,128,16,7,4,2,1,1,0.4,0,CS2_37,0.0168492303762052,0.0034024169920788,0.0444980613690989,0.0510919360770944,8,1.699362927469714
0.0008,128,16,7,4,2,1,1,0.4,0,CS2_38,0.0131551852183682,0.0034729093507242,0.0307910271197022,0.0556208094969399,13,1.6519153837173703
0.0008,128,16,7,4,2,1,1,0.45,0,CS2_35,0.0128578929541011,0.004764954233542,0.0249738808718289,0.0669648536110962,25,1.6830828412373862
0.0008,128,16,7,4,2,1,1,0.45,0,CS2_36,0.0035418456963573,0.0336397531209513,0.0272774255188887,0.1824963780107609,14,1.6352890022099018
