lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,rul_rmse_mean,rul_rmse_std
0.0009,4,16,2,2,2,1,1,0.1,0,0.0370136166170196,0.009706003829004814
0.0009,4,16,2,2,2,1,2,0.1,0,0.03950171038888152,0.009580947047383234
0.0009,4,16,2,2,2,1,4,0.1,0,0.04546073552313455,0.01015476959710171
0.0009,4,16,2,2,2,2,1,0.1,0,0.044143000190359896,0.013122116972800649
0.0009,4,16,2,2,2,2,2,0.1,0,0.04304058871705485,0.009098906347342369
0.0009,4,16,2,2,2,2,4,0.1,0,0.04362974799166245,0.010603457939419702
0.0009,4,16,2,2,2,4,1,0.1,0,0.044044100022759824,0.010467000879142216
0.0009,4,16,2,2,2,4,2,0.1,0,0.04108014656389662,0.005928999700758518
0.0009,4,16,2,2,2,4,4,0.1,0,0.04453711034322752,0.012279180044399115
