lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,rul_rmse_mean,rul_rmse_std
0.0007,16,16,3,3,2,1,1,0.1,0,0.0481400809859032,0.015582156226938251
0.0007,16,16,3,3,2,1,2,0.1,0,0.05105774885483923,0.01890609950581572
0.0007,16,16,3,3,2,1,4,0.1,0,0.050382653201450855,0.016154498304383893
0.0007,16,16,3,3,2,2,1,0.1,0,0.051811915346891425,0.01674175851817237
0.0007,16,16,3,3,2,2,2,0.1,0,0.051543892782513125,0.01594894008132546
0.0007,16,16,3,3,2,2,4,0.1,0,0.05121451738383818,0.017866691013578438
0.0007,16,16,3,3,2,4,1,0.1,0,0.05362238101923937,0.014759480708083566
0.0007,16,16,3,3,2,4,2,0.1,0,0.049014917420203696,0.014945074379500984
0.0007,16,16,3,3,2,4,4,0.1,0,0.05060704637881637,0.017645422353464984
