dataset,m,ks,depth,num_layers,num_heads,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
NASA,16,2,1,1,1,B0005,0.0030324672856791,0.0025953853146347,0.0251145273360447,0.0503220762374201,28,0.1884645223617553
NASA,16,2,1,1,1,B0006,0.0309560788287357,0.0073971164723237,0.1935518124777775,0.0604225607818212,4,0.1739972829818725
NASA,16,2,1,1,1,B0007,0.0045598026675482,0.0016903800264117,0.0294601742876719,0.0400448482392093,26,0.1524518054464589
NASA,16,2,1,1,1,B0018,0.0031976382403324,0.0040443001780658,0.0233861536485099,0.0631633507720522,41,0.1885980152692951
NASA,16,2,1,1,2,B0005,0.0031171269947662,0.0026003165585279,0.0255617465582876,0.0503485476362575,28,0.1989995141824086
NASA,16,2,1,1,2,B0006,0.004769944300113,0.0044709133605162,0.0521586271277228,0.0647986187966611,8,0.1805774910109383
NASA,16,2,1,1,2,B0007,0.0062101370034118,0.0014057829219382,0.0277870480551468,0.0364495662365366,23,0.1410842662633851
NASA,16,2,1,1,2,B0018,0.006031548216318,0.0032515888645624,0.031785305045719,0.0561298345978437,10,0.1926613171895345
NASA,16,2,1,1,4,B0005,0.0032572514504532,0.0026118425739696,0.0256567941261302,0.0504580572291237,28,0.1767497460047404
NASA,16,2,1,1,4,B0006,0.0323520824313163,0.0077280257828533,0.1885317660230793,0.0646034279961188,4,0.1688980360825856
NASA,16,2,1,1,4,B0007,0.0046307376792861,0.001682582849753,0.0294312267963095,0.0399495068947736,26,0.1393630245457524
NASA,16,2,1,1,4,B0018,0.0049319098082681,0.0041524936289836,0.0390597116448689,0.0632449804081635,18,0.1892604074980083
NASA,16,2,1,1,8,B0005,0.0033523279707878,0.0026155236228078,0.0263465881181958,0.0504589874967744,28,0.1731274823347727
NASA,16,2,1,1,8,B0006,0.0317618161101232,0.0076283793896436,0.1945006570624263,0.0620107150059162,4,0.1723851462205251
NASA,16,2,1,1,8,B0007,0.0046627493833916,0.0016849105188157,0.0293385950945802,0.0399854369977224,26,0.1456568137459133
NASA,16,2,1,1,8,B0018,0.0045011633192189,0.0041159061559786,0.0390235893967817,0.0629573038601845,18,0.2091458533939562
NASA,16,2,1,2,1,B0005,0.0031325463734736,0.0023493110929848,0.0114679450354251,0.0483338356498839,46,0.2824708981947465
NASA,16,2,1,2,1,B0006,0.0044927324634045,0.0043435236439108,0.0350587417595872,0.0649662376676158,15,0.2782992158617292
NASA,16,2,1,2,1,B0007,0.0015979865565896,0.0008315693499753,0.0151589039724519,0.0284357188464937,83,0.2381598231861892
NASA,16,2,1,2,1,B0018,0.0047957203156935,0.0036230631327877,0.0344586247235816,0.0591973261544818,16,0.2845460904969109
NASA,16,2,1,2,2,B0005,0.003335703714666,0.002566712697444,0.0153161167055514,0.0504306884813978,36,0.274284371307918
NASA,16,2,1,2,2,B0006,0.0051863662771541,0.0044810036197304,0.0348629318904558,0.0660262155079301,19,0.2649781887347882
NASA,16,2,1,2,2,B0007,0.0039705401286482,0.0009555077718687,0.0140864401924387,0.0305886413021922,50,0.2372686420168195
NASA,16,2,1,2,2,B0018,0.0058255302913797,0.0030250335500265,0.0295228087590539,0.0542021573762149,17,0.3051815226271346
NASA,16,2,1,2,4,B0005,0.0030227606078948,0.0022490385454148,0.0119195929732337,0.0472739982860433,46,0.2780160976178718
NASA,16,2,1,2,4,B0006,0.0035742864393713,0.0054746659006923,0.0291343552208309,0.0734151546236282,23,0.2730667701987333
NASA,16,2,1,2,4,B0007,0.0042695852203501,0.0012376284168567,0.0191706063906971,0.0346536753800095,33,0.2308308403446989
NASA,16,2,1,2,4,B0018,0.0038695467519573,0.0040171315583089,0.0316821337569295,0.0625839904601261,16,0.3508751657274034
NASA,16,2,1,2,8,B0005,0.0029260307571596,0.0023387537985399,0.0116395731530771,0.0482203879734002,46,0.4016720128781867
NASA,16,2,1,2,8,B0006,0.0025298575637862,0.0060198162682354,0.0261335381567256,0.0771460955300555,29,0.3427405162733428
NASA,16,2,1,2,8,B0007,0.0025461662508961,0.0008969787959358,0.0164199312604707,0.0294960568754304,78,0.2874719293750062
NASA,16,2,1,2,8,B0018,0.0039053323271218,0.0027467812566707,0.0228879076623178,0.0519075678838073,23,0.3631541673527207
NASA,16,2,1,3,1,B0005,0.0021982381797649,0.0019497601897455,0.011099563488928,0.0440163629076641,34,0.4742061871069449
NASA,16,2,1,3,1,B0006,0.0052225420209155,0.0023317161248996,0.025842424798359,0.0475913122422526,46,0.4257743719852332
NASA,16,2,1,3,1,B0007,0.0025997701514926,0.0008403502237342,0.0133352547493685,0.0286804345192377,101,0.3716341227539315
NASA,16,2,1,3,1,B0018,0.0899518712734182,0.0676839152971903,0.1149280414330524,0.2576103061791389,2,0.4763087792830033
NASA,16,2,1,3,2,B0005,0.002229024761949,0.0019169712177244,0.0142557939335881,0.0435505275035335,34,0.451695097817315
NASA,16,2,1,3,2,B0006,0.0054934097411618,0.0022128059063106,0.0260975788205163,0.04631087980094,46,0.4397296255285089
NASA,16,2,1,3,2,B0007,0.0045766384961704,0.0010753558119176,0.015150477372554,0.0324407478330441,85,0.3863214174906412
NASA,16,2,1,3,2,B0018,0.0693420611011485,0.0688906886304418,0.1447151304192336,0.2584500785735575,2,0.4829311262477528
NASA,16,2,1,3,4,B0005,0.0021372469755905,0.0019061111670453,0.0155356252001573,0.0433817427938309,38,0.4491489632376309
NASA,16,2,1,3,4,B0006,0.004560330311175,0.0023581799274931,0.0379287218711828,0.0470565737101042,26,0.450067400932312
NASA,16,2,1,3,4,B0007,0.0030352735322796,0.000981259038599,0.0170950886647986,0.0308550618710599,34,0.3550461177472715
NASA,16,2,1,3,4,B0018,0.005973651704456,0.0033004172922422,0.0531165979440278,0.0549388757108906,7,0.4291415656054461
NASA,16,2,1,3,8,B0005,0.002061205683276,0.0017947614396689,0.0137184675419943,0.042141924629779,38,0.3828232576107157
NASA,16,2,1,3,8,B0006,0.0024520071985369,0.0039468763861805,0.0299890223560151,0.062104284979621,36,0.3607152530125209
NASA,16,2,1,3,8,B0007,0.0033873592555108,0.0012847415884607,0.0221831156798284,0.0351501425183216,25,0.309153758154975
NASA,16,2,1,3,8,B0018,0.0039119404973462,0.0043367052761216,0.0271460986655789,0.0652917622842638,36,0.4474458481584276
NASA,16,2,1,4,1,B0005,0.0018757974718358,0.0016432823431387,0.0112648366710513,0.0403805976830943,55,0.5645131778717041
NASA,16,2,1,4,1,B0006,0.0033603487536311,0.0031181765565027,0.0252048275089699,0.0552688723398671,37,0.4820011373151812
NASA,16,2,1,4,1,B0007,0.059174378712972,0.047076354548335,0.0719889080598971,0.2157732956579996,17,0.4271262916358742
NASA,16,2,1,4,1,B0018,0.0048895632692923,0.0041960493351022,0.0326712986342872,0.0639476971539921,15,0.5288586071559361
NASA,16,2,1,4,2,B0005,0.0032881837846203,0.0023085298817022,0.0113049005604382,0.0479139827418728,24,0.5158308094198053
NASA,16,2,1,4,2,B0006,0.066179540685632,0.0628757683249811,0.0888249149143685,0.2491721924430349,7,0.4937823348575168
NASA,16,2,1,4,2,B0007,0.0032196981159763,0.0009641298500355,0.0167842386580963,0.0305934433181666,36,0.4395820157868521
NASA,16,2,1,4,2,B0018,0.0070493669869999,0.0026425964897498,0.0365714770207862,0.0500884143770724,20,0.5383487820625306
NASA,16,2,1,4,4,B0005,0.0026158826235173,0.0022458846287918,0.0123325819677561,0.0472300259646434,29,0.5168179687188597
NASA,16,2,1,4,4,B0006,0.0042707104532217,0.0025813978475828,0.0263560722942686,0.0501191939395568,33,0.5061260079437832
NASA,16,2,1,4,4,B0007,0.0029252467340686,0.0011092641914729,0.0177185760009473,0.0328309216424757,40,0.4383239388465881
NASA,16,2,1,4,4,B0018,0.0069654853238413,0.0046926496239999,0.0593617284314437,0.0658807113519663,19,0.5447504031352508
NASA,16,2,1,4,8,B0005,0.0021359086227179,0.0024121054157149,0.0109908802317362,0.0489900549627991,29,0.4972035446945502
NASA,16,2,1,4,8,B0006,0.0038896686270494,0.0024479116934041,0.0253793741365339,0.0488211062473078,33,0.4758613964296737
NASA,16,2,1,4,8,B0007,0.0015764328224274,0.0011903257051017,0.018081565345618,0.0340239828333061,47,0.4503071236966261
NASA,16,2,1,4,8,B0018,0.0028341426368569,0.0036246051701406,0.0202046787799204,0.059864701035897,30,0.5501621866226196
NASA,16,2,2,1,1,B0005,0.003590667810799,0.0023712296424491,0.016658305732822,0.0484095007431708,42,0.1997656860659199
NASA,16,2,2,1,1,B0006,0.0049863173414699,0.0043526215789218,0.0535045821219672,0.0637679199143692,11,0.2029684282118274
NASA,16,2,2,1,1,B0007,0.0037526677931762,0.0009728290810016,0.0119744656602129,0.0309594946523819,58,0.1768408219019571
NASA,16,2,2,1,1,B0018,0.0035083059628959,0.0032805285494153,0.029534619994669,0.0565092832377296,6,0.2142873177161583
NASA,16,2,2,1,2,B0005,0.0036520599175921,0.0023978181452548,0.0167108792991675,0.048681544699988,42,0.2124421250435614
NASA,16,2,2,1,2,B0006,0.004958271451125,0.0044230748899281,0.053300239947091,0.064334930192195,11,0.2126177433998354
NASA,16,2,2,1,2,B0007,0.0037688585774352,0.0008642018634418,0.0121741601813517,0.0291441394018254,58,0.1871977096948868
NASA,16,2,2,1,2,B0018,0.0034647374122869,0.0032302470644935,0.0293173766258836,0.0560740242590078,6,0.2409475216498741
NASA,16,2,2,1,4,B0005,0.0037358755097639,0.00242083689227,0.0167285445798535,0.0489167911929663,42,0.2251121151831842
NASA,16,2,2,1,4,B0006,0.0048158257056704,0.0046914736740291,0.0543586304365104,0.0663022449339859,11,0.2269110602717245
NASA,16,2,2,1,4,B0007,0.0053231024390293,0.0011966013349592,0.0212175918271339,0.0339349777530727,36,0.1859013991696494
NASA,16,2,2,1,4,B0018,0.0027883698542912,0.0030994766081372,0.022825455751576,0.055203047769647,46,0.2390297868035056
NASA,16,2,2,1,8,B0005,0.0036158260085027,0.0024342316628462,0.01599095932202,0.0490781064769814,42,0.2175536732519826
NASA,16,2,2,1,8,B0006,0.0048401916018602,0.0043320978681246,0.0521830638333222,0.0637164863565061,11,0.2125621918709047
NASA,16,2,2,1,8,B0007,0.0037991211801353,0.0008212364729843,0.0134600727315818,0.0283393561334436,58,0.1849959110602354
NASA,16,2,2,1,8,B0018,0.0031396572206479,0.0041274883163472,0.0288650299512869,0.0635937837154242,24,0.2365917021578008
NASA,16,2,2,2,1,B0005,0.0040864968587729,0.0018524288007029,0.0147393474650967,0.0427867267542516,44,0.354367297142744
NASA,16,2,2,2,1,B0006,0.0042983128223568,0.0030991704358408,0.0335783382829364,0.0546481467751219,31,0.352428627949135
NASA,16,2,2,2,1,B0007,0.0032085731832517,0.0010345501708798,0.0152184309703793,0.0318023601473769,55,0.3274912325541178
NASA,16,2,2,2,1,B0018,0.0020884007778173,0.0044630124854544,0.0289478371750807,0.0661756365602802,24,0.3809236342256719
NASA,16,2,2,2,2,B0005,0.0031774493611671,0.0023299443928408,0.0180268228566442,0.047931699073501,26,0.3646590709686279
NASA,16,2,2,2,2,B0006,0.004112992351028,0.0051149742988248,0.0522819856997637,0.0695818488135541,9,0.359459638595581
NASA,16,2,2,2,2,B0007,0.0025812445803441,0.0009621302073355,0.0239006805187341,0.0300833169679462,38,0.3208006702620408
NASA,16,2,2,2,2,B0018,0.0038452245450268,0.0037067530599112,0.0405580923907699,0.0595168645211748,13,0.4334929639642889
