lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0007,16,16,3,3,2,1,1,0.0,B0005,0.0020332749506148198,0.0021346032195391934,0.7434862232362969,0.046201766411460864,31,1.3071511351032021
0.0007,16,16,3,3,2,1,1,0.0,B0006,0.0031945318570995532,0.002596722663535426,0.7587863491669349,0.05095804807422892,85,1.460494135044239
0.0007,16,16,3,3,2,1,1,0.0,B0007,0.0022671577494798433,0.0012299722206080333,0.7473820254194569,0.03507095979023148,53,0.8404491410672086
0.0007,16,16,3,3,2,1,1,0.0,B0018,0.0018922611817960506,0.004036701672400038,0.7063498823040367,0.06353504286927047,34,0.9925522208213806
0.0007,16,16,3,3,2,1,1,0.1,B0005,0.0012512556221779612,0.001224635268694588,0.01510903578195848,0.03466708727664382,59,1.047363255002083
0.0007,16,16,3,3,2,1,1,0.1,B0006,0.004180709164674309,0.0035646843219486377,0.02933721786303225,0.058979802449149285,35,1.050029779882992
0.0007,16,16,3,3,2,1,1,0.1,B0007,0.0028801074950024486,0.0012559794791741296,0.020128140141513703,0.03486352356207411,47,0.9043404687311232
0.0007,16,16,3,3,2,1,1,0.1,B0018,0.00383535243631543,0.004185752011835575,0.02887229104029989,0.06404991065574579,15,1.1266463573162373
0.0007,16,16,3,3,2,1,1,0.2,B0005,0.002599817939058301,0.002021923773489626,0.01726686013729735,0.04429779751223547,31,1.550517647354691
0.0007,16,16,3,3,2,1,1,0.2,B0006,0.002435446640116755,0.0034349861428684867,0.029120898057153028,0.05714351019592333,68,1.2321156909910298
0.0007,16,16,3,3,2,1,1,0.2,B0007,0.0034492951171058747,0.0010375445635872893,0.016651615800591976,0.031338303967762215,49,0.9469899384662358
0.0007,16,16,3,3,2,1,1,0.2,B0018,0.006703434127342442,0.004163378189938764,0.04857609355687012,0.06075731074635037,8,1.1932961817445427
0.0007,16,16,3,3,2,1,1,0.3,B0005,0.0015710325110592834,0.002024036400793453,0.010622724301550288,0.0446114746536852,68,1.1194061444977583
0.0007,16,16,3,3,2,1,1,0.3,B0006,0.0026461782717061315,0.0028100935548233488,0.024970995188848617,0.051215509306501955,68,1.1308291221069078
0.0007,16,16,3,3,2,1,1,0.3,B0007,0.002618996555813485,0.0011805465474026278,0.014680424897210083,0.03340497086983905,69,1.0185079734866358
0.0007,16,16,3,3,2,1,1,0.3,B0018,0.00729768407156529,0.00384468554208676,0.03306514287226606,0.059301723454956094,8,1.2013753241506115
0.0007,16,16,3,3,2,1,1,0.4,B0005,0.002810309336165942,0.0025601382741505013,0.02178908257326768,0.04868503474480422,31,1.1184123857521717
0.0007,16,16,3,3,2,1,1,0.4,B0006,0.002688909690319137,0.0029887285782024264,0.022682555144725614,0.05275347630095966,85,1.1478306770324707
0.0007,16,16,3,3,2,1,1,0.4,B0007,0.0024334247185227773,0.001246455335058272,0.01211553220472763,0.03446361686895138,69,1.0148528123102267
0.0007,16,16,3,3,2,1,1,0.4,B0018,0.004357859945309389,0.0038021900594079248,0.02391451200039074,0.05977816048354612,26,1.2042647349207025
0.0007,16,16,3,3,2,1,1,0.5,B0005,0.001088617516437634,0.0019252943155671737,0.01528445700729839,0.04252630910605115,128,1.1254948766044017
0.0007,16,16,3,3,2,1,1,0.5,B0006,0.0038979620757428083,0.0038319959227616587,0.02952711445581064,0.05827581563924837,19,1.1659534979557646
0.0007,16,16,3,3,2,1,1,0.5,B0007,0.004272925266478624,0.001269688573665917,0.015302570392215236,0.03395002584954829,33,1.0383203575410038
0.0007,16,16,3,3,2,1,1,0.5,B0018,0.006809171597959231,0.0033635646492863693,0.02763989317144672,0.05460387194261691,8,1.229940735060593
0.0007,16,16,3,3,2,1,1,0.6,B0005,0.0033747210760512168,0.002281477442011237,0.020173234787118695,0.04513647994398719,66,1.1468311445466404
0.0007,16,16,3,3,2,1,1,0.6,B0006,0.0036641568665138698,0.002980502574549367,0.02727837856126416,0.05033921515877548,13,1.1037607874189104
0.0007,16,16,3,3,2,1,1,0.6,B0007,0.0035481032876608274,0.0011638426018180325,0.012140852771279225,0.03279332847696822,62,0.7665399717433112
0.0007,16,16,3,3,2,1,1,0.6,B0018,0.005176815573814447,0.003926486941054463,0.024455446692553885,0.05972977145354319,10,0.8642325202624003
0.0007,16,16,3,3,2,1,1,0.7,B0005,0.004180954109566907,0.001955540340402097,0.012910865437649549,0.0428818960419981,53,0.8054113295471784
