lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0007,16,16,3,3,2,1,1,0.0,B0005,0.0020332749506148198,0.0021346032195391934,0.7434862232362969,0.046201766411460864,31,0.816917339960734
0.0007,16,16,3,3,2,1,1,0.0,B0006,0.004322449623776431,0.003023162988635401,0.9354333881732898,0.05498329736052032,13,0.8296675568535214
0.0007,16,16,3,3,2,1,1,0.0,B0007,0.003852336861503621,0.0009321191588242073,0.7362080929006408,0.030530626571104093,41,0.729291198017833
0.0007,16,16,3,3,2,1,1,0.0,B0018,0.003587525049426957,0.0029720349557464942,0.8621797453128419,0.05451637328130416,28,0.7993659239548904
0.0007,16,16,3,3,2,1,1,0.1,B0005,0.0038482082863560037,0.002137814078845882,0.023289259483500243,0.04564619502429251,15,0.7416736456064078
0.0007,16,16,3,3,2,1,1,0.1,B0006,0.005388091863344677,0.003248885778399805,0.032097926393100745,0.05608794979199118,51,0.7753750593355386
0.0007,16,16,3,3,2,1,1,0.1,B0007,0.003093624322597558,0.0005369013339077356,0.015586937623114179,0.022640805707090077,69,0.7415967488489231
0.0007,16,16,3,3,2,1,1,0.1,B0005,0.0012512556221779612,0.001224635268694588,0.01510903578195848,0.03466708727664382,59,0.8295023139519028
0.0007,16,16,3,3,2,1,1,0.2,B0005,0.002599817939058301,0.002021923773489626,0.01726686013729735,0.04429779751223547,31,0.8087721712449017
0.0007,16,16,3,3,2,1,1,0.1,B0005,0.002826376033702954,0.0030596586917194407,0.019673120658586046,0.05496322007937601,24,0.8212994228709828
0.0007,16,16,3,3,2,1,1,0.2,B0005,0.002599817939058301,0.002021923773489626,0.01726686013729735,0.04429779751223547,31,0.8185920481588326
0.0007,16,16,3,3,2,1,1,0.1,B0005,0.0012512556221779612,0.001224635268694588,0.01510903578195848,0.03466708727664382,59,0.8355350615103033
