dataset,ks,depth,num_layers,num_heads,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
NASA,2,1,1,1,B0005,0.0030324672856791453,0.0025953853146347683,0.0251145273360447,0.05032207623742019,28,0.18846452236175537
NASA,2,1,1,1,B0006,0.030956078828735786,0.007397116472323735,0.19355181247777756,0.06042256078182122,4,0.17399728298187256
NASA,2,1,1,1,B0007,0.004559802667548259,0.0016903800264117309,0.029460174287671923,0.04004484823920937,26,0.1524518054464589
NASA,2,1,1,1,B0018,0.0031976382403324046,0.004044300178065896,0.023386153648509943,0.06316335077205229,41,0.18859801526929512
NASA,2,1,1,2,B0005,0.003117126994766295,0.002600316558527993,0.025561746558287694,0.050348547636257596,28,0.19899951418240866
NASA,2,1,1,2,B0006,0.004769944300113077,0.0044709133605162306,0.05215862712772285,0.06479861879666113,8,0.18057749101093837
NASA,2,1,1,2,B0007,0.006210137003411849,0.0014057829219382256,0.02778704805514684,0.03644956623653661,23,0.14108426626338516
NASA,2,1,1,2,B0018,0.0060315482163180905,0.0032515888645624122,0.03178530504571904,0.056129834597843785,10,0.1926613171895345
NASA,2,1,1,4,B0005,0.0032572514504532924,0.002611842573969625,0.025656794126130228,0.05045805722912379,28,0.1767497460047404
NASA,2,1,1,4,B0006,0.032352082431316376,0.007728025782853365,0.1885317660230793,0.06460342799611887,4,0.16889803608258566
NASA,2,1,1,4,B0007,0.004630737679286135,0.0016825828497530892,0.029431226796309586,0.03994950689477365,26,0.13936302454575247
NASA,2,1,1,4,B0018,0.004931909808268149,0.004152493628983696,0.03905971164486891,0.0632449804081635,18,0.18926040749800832
NASA,2,1,1,8,B0005,0.003352327970787883,0.002615523622807814,0.026346588118195836,0.05045898749677443,28,0.17312748233477274
NASA,2,1,1,8,B0006,0.03176181611012329,0.007628379389643669,0.19450065706242634,0.062010715005916206,4,0.17238514622052512
NASA,2,1,1,8,B0007,0.004662749383391606,0.001684910518815741,0.029338595094580252,0.0399854369977224,26,0.1456568137459133
NASA,2,1,1,8,B0018,0.004501163319218904,0.00411590615597864,0.03902358939678174,0.06295730386018454,18,0.20914585339395622
NASA,2,1,2,1,B0005,0.0031325463734736495,0.0023493110929848626,0.011467945035425198,0.04833383564988391,46,0.2824708981947465
NASA,2,1,2,1,B0006,0.004492732463404536,0.004343523643910885,0.03505874175958728,0.06496623766761586,15,0.27829921586172923
NASA,2,1,2,1,B0007,0.0015979865565896034,0.0008315693499753252,0.015158903972451974,0.02843571884649379,83,0.23815982318618922
NASA,2,1,2,1,B0018,0.0047957203156935675,0.003623063132787744,0.034458624723581695,0.05919732615448189,16,0.28454609049691093
NASA,2,1,2,2,B0005,0.0033357037146660414,0.002566712697444018,0.01531611670555149,0.05043068848139781,36,0.274284371307918
NASA,2,1,2,2,B0006,0.005186366277154197,0.0044810036197304726,0.034862931890455806,0.06602621550793016,19,0.2649781887347882
NASA,2,1,2,2,B0007,0.003970540128648281,0.0009555077718687244,0.014086440192438725,0.030588641302192205,50,0.23726864201681955
NASA,2,1,2,2,B0018,0.0058255302913797396,0.003025033550026516,0.029522808759053932,0.05420215737621499,17,0.3051815226271346
NASA,2,1,2,4,B0005,0.003022760607894849,0.0022490385454148054,0.011919592973233773,0.04727399828604332,46,0.2780160976178718
NASA,2,1,2,4,B0006,0.00357428643937138,0.005474665900692344,0.029134355220830927,0.07341515462362826,23,0.2730667701987333
NASA,2,1,2,4,B0007,0.004269585220350159,0.0012376284168567509,0.019170606390697172,0.034653675380009505,33,0.23083084034469892
NASA,2,1,2,4,B0018,0.0038695467519573867,0.004017131558308999,0.03168213375692954,0.06258399046012618,16,0.3508751657274034
NASA,2,1,2,8,B0005,0.002926030757159672,0.002338753798539983,0.011639573153077114,0.04822038797340024,46,0.40167201287818677
NASA,2,1,2,8,B0006,0.0025298575637862086,0.006019816268235445,0.02613353815672569,0.07714609553005554,29,0.34274051627334284
NASA,2,1,2,8,B0007,0.0025461662508961228,0.0008969787959358655,0.01641993126047074,0.029496056875430453,78,0.2874719293750062
NASA,2,1,2,8,B0018,0.0039053323271218687,0.002746781256670753,0.022887907662317856,0.05190756788380732,23,0.36315416735272077
NASA,2,1,3,1,B0005,0.0021982381797649646,0.0019497601897455752,0.011099563488928033,0.04401636290766412,34,0.4742061871069449
NASA,2,1,3,1,B0006,0.0052225420209155845,0.0023317161248996854,0.02584242479835902,0.04759131224225266,46,0.4257743719852332
NASA,2,1,3,1,B0007,0.002599770151492622,0.0008403502237342763,0.013335254749368593,0.02868043451923779,101,0.3716341227539315
NASA,2,1,3,1,B0018,0.08995187127341826,0.06768391529719035,0.11492804143305249,0.2576103061791389,2,0.47630877928300336
NASA,2,1,3,2,B0005,0.0022290247619490733,0.0019169712177244946,0.014255793933588199,0.04355052750353359,34,0.451695097817315
NASA,2,1,3,2,B0006,0.0054934097411618995,0.0022128059063106775,0.026097578820516394,0.04631087980094004,46,0.43972962552850897
NASA,2,1,3,2,B0007,0.004576638496170442,0.0010753558119176887,0.015150477372554061,0.0324407478330441,85,0.38632141749064125
NASA,2,1,3,2,B0018,0.06934206110114853,0.06889068863044183,0.1447151304192336,0.25845007857355756,2,0.4829311262477528
NASA,2,1,3,4,B0005,0.0021372469755905595,0.0019061111670453101,0.015535625200157369,0.043381742793830905,38,0.4491489632376309
NASA,2,1,3,4,B0006,0.0045603303111750974,0.002358179927493135,0.037928721871182895,0.0470565737101042,26,0.450067400932312
NASA,2,1,3,4,B0007,0.0030352735322796637,0.0009812590385990915,0.017095088664798606,0.03085506187105999,34,0.3550461177472715
NASA,2,1,3,4,B0018,0.005973651704456036,0.003300417292242249,0.05311659794402781,0.054938875710890664,7,0.42914156560544614
NASA,2,1,3,8,B0005,0.0020612056832760572,0.001794761439668946,0.013718467541994385,0.04214192462977907,38,0.3828232576107157
NASA,2,1,3,8,B0006,0.0024520071985369377,0.00394687638618052,0.02998902235601517,0.06210428497962107,36,0.36071525301252094
NASA,2,1,3,8,B0007,0.0033873592555108997,0.0012847415884607472,0.022183115679828464,0.035150142518321666,25,0.30915375815497503
NASA,2,1,3,8,B0018,0.003911940497346222,0.0043367052761216955,0.0271460986655789,0.06529176228426384,36,0.44744584815842764
NASA,2,1,4,1,B0005,0.0018757974718358707,0.0016432823431387078,0.011264836671051354,0.04038059768309434,55,0.5645131778717041
NASA,2,1,4,1,B0006,0.003360348753631115,0.0031181765565027795,0.025204827508969994,0.055268872339867166,37,0.48200113731518124
NASA,2,1,4,1,B0007,0.05917437871297201,0.04707635454833507,0.07198890805989713,0.21577329565799963,17,0.4271262916358742
NASA,2,1,4,1,B0018,0.0048895632692923146,0.0041960493351022405,0.03267129863428722,0.06394769715399214,15,0.5288586071559361
NASA,2,1,4,2,B0005,0.0032881837846203284,0.0023085298817022704,0.011304900560438253,0.04791398274187287,24,0.5158308094198053
NASA,2,1,4,2,B0006,0.06617954068563202,0.06287576832498114,0.08882491491436854,0.24917219244303498,7,0.4937823348575168
NASA,2,1,4,2,B0007,0.0032196981159763206,0.0009641298500355333,0.016784238658096345,0.030593443318166616,36,0.43958201578685213
NASA,2,1,4,2,B0018,0.007049366986999909,0.002642596489749849,0.03657147702078627,0.05008841437707247,20,0.5383487820625306
NASA,2,1,4,4,B0005,0.002615882623517378,0.0022458846287918277,0.012332581967756186,0.04723002596464343,29,0.5168179687188597
NASA,2,1,4,4,B0006,0.004270710453221744,0.0025813978475828967,0.026356072294268694,0.05011919393955683,33,0.5061260079437832
NASA,2,1,4,4,B0007,0.0029252467340686256,0.0011092641914729029,0.017718576000947322,0.032830921642475766,40,0.43832393884658816
NASA,2,1,4,4,B0018,0.006965485323841373,0.004692649623999993,0.05936172843144379,0.06588071135196631,19,0.5447504031352508
NASA,2,1,4,8,B0005,0.002135908622717993,0.0024121054157149047,0.010990880231736293,0.04899005496279917,29,0.4972035446945502
NASA,2,1,4,8,B0006,0.003889668627049435,0.002447911693404118,0.025379374136533902,0.048821106247307865,33,0.4758613964296737
NASA,2,1,4,8,B0007,0.001576432822427402,0.0011903257051017135,0.018081565345618097,0.034023982833306106,47,0.4503071236966261
NASA,2,1,4,8,B0018,0.0028341426368569955,0.0036246051701406636,0.020204678779920483,0.059864701035897014,30,0.5501621866226196
NASA,2,2,1,1,B0005,0.003590667810799046,0.0023712296424491797,0.016658305732822044,0.04840950074317086,42,0.19976568606591993
NASA,2,2,1,1,B0006,0.004986317341469906,0.004352621578921874,0.053504582121967285,0.06376791991436927,11,0.20296842821182742
NASA,2,2,1,1,B0007,0.0037526677931762403,0.0009728290810016915,0.011974465660212928,0.03095949465238194,58,0.17684082190195718
NASA,2,2,1,1,B0018,0.0035083059628959745,0.00328052854941537,0.02953461999466905,0.056509283237729614,6,0.21428731771615836
NASA,2,2,1,2,B0005,0.0036520599175921893,0.0023978181452548597,0.016710879299167578,0.04868154469998808,42,0.2124421250435614
NASA,2,2,1,2,B0006,0.004958271451125091,0.0044230748899281025,0.053300239947091044,0.06433493019219504,11,0.2126177433998354
NASA,2,2,1,2,B0007,0.0037688585774352155,0.0008642018634418491,0.012174160181351758,0.02914413940182549,58,0.18719770969488683
NASA,2,2,1,2,B0018,0.0034647374122869223,0.0032302470644935966,0.02931737662588361,0.05607402425900786,6,0.24094752164987418
NASA,2,2,1,4,B0005,0.0037358755097639832,0.0024208368922700174,0.01672854457985359,0.04891679119296633,42,0.22511211518318422
NASA,2,2,1,4,B0006,0.004815825705670498,0.004691473674029112,0.05435863043651047,0.06630224493398598,11,0.22691106027172459
NASA,2,2,1,4,B0007,0.005323102439029349,0.0011966013349592685,0.021217591827133904,0.03393497775307271,36,0.1859013991696494
NASA,2,2,1,4,B0018,0.0027883698542912803,0.0030994766081372895,0.02282545575157608,0.055203047769647066,46,0.23902978680350564
NASA,2,2,1,8,B0005,0.0036158260085027327,0.0024342316628462868,0.01599095932202,0.049078106476981416,42,0.21755367325198266
NASA,2,2,1,8,B0006,0.004840191601860252,0.004332097868124644,0.052183063833322274,0.06371648635650613,11,0.21256219187090475
NASA,2,2,1,8,B0007,0.0037991211801353428,0.0008212364729843103,0.01346007273158186,0.028339356133443606,58,0.18499591106023544
NASA,2,2,1,8,B0018,0.003139657220647981,0.004127488316347201,0.02886502995128691,0.06359378371542428,24,0.23659170215780084
NASA,2,2,2,1,B0005,0.004086496858772906,0.00185242880070291,0.014739347465096737,0.04278672675425168,44,0.35436729714274406
NASA,2,2,2,1,B0006,0.00429831282235682,0.0030991704358408847,0.033578338282936444,0.054648146775121996,31,0.352428627949135
NASA,2,2,2,1,B0007,0.0032085731832517516,0.0010345501708798111,0.015218430970379388,0.0318023601473769,55,0.32749123255411783
NASA,2,2,2,1,B0018,0.002088400777817393,0.00446301248545448,0.028947837175080756,0.06617563656028028,24,0.38092363422567194
NASA,2,2,2,2,B0005,0.003177449361167171,0.0023299443928408436,0.018026822856644295,0.04793169907350102,26,0.36465907096862793
NASA,2,2,2,2,B0006,0.004112992351028052,0.005114974298824866,0.05228198569976379,0.06958184881355413,9,0.35945963859558105
NASA,2,2,2,2,B0007,0.0025812445803441936,0.0009621302073355764,0.02390068051873414,0.03008331696794629,38,0.3208006702620408
NASA,2,2,2,2,B0018,0.0038452245450268188,0.003706753059911231,0.040558092390769955,0.0595168645211748,13,0.4334929639642889
NASA,2,2,2,4,B0005,0.003589272837747227,0.0017996964415942784,0.019215380347462833,0.04198539483673082,27,0.36561635200013504
NASA,2,2,2,4,B0006,0.002664050711742179,0.003923102049157023,0.0314443250342137,0.06184033931942203,38,0.3608679648103385
NASA,2,2,2,4,B0007,0.0018643783405423164,0.0008949790353653952,0.017159175223776062,0.02941998141341914,64,0.29508869420914424
NASA,2,2,2,4,B0018,0.003936431409480671,0.004719726508483291,0.050600768122126806,0.06681079885529484,11,0.40835432083375994
NASA,2,2,2,8,B0005,0.0028103538683022966,0.001871795839178958,0.017166162914681454,0.04292235007851911,27,0.3633198281551929
NASA,2,2,2,8,B0006,0.0076884790958667345,0.0038293094063798585,0.0459334188596604,0.06015248635210308,14,0.3513212624718161
NASA,2,2,2,8,B0007,0.005504319004507529,0.001824723108438775,0.03538592719302368,0.04122507448694121,10,0.30838627020517984
NASA,2,2,2,8,B0018,0.0032338529999833554,0.003742953451971213,0.026989126306160908,0.06058144992209449,19,0.370013707723373
NASA,2,2,3,1,B0005,0.06094957413998517,0.050232121953740716,0.07560534585377612,0.22284637430714624,16,0.506439553366767
NASA,2,2,3,1,B0006,0.004297251802530478,0.0035479383853574595,0.03142147713291061,0.05872995420604138,40,0.46694399913152057
NASA,2,2,3,1,B0007,0.0025513381050485703,0.0009801560707273893,0.015514412821975479,0.03092064625374692,54,0.4029964981852351
NASA,2,2,3,1,B0018,0.0070739477523602545,0.0035589117712030807,0.06480908297803857,0.0560257985385733,14,0.5116287610110115
NASA,2,2,3,2,B0005,0.003385222887366333,0.0020328049795352854,0.01711906814536051,0.04476045873820002,43,0.4903751365722172
NASA,2,2,3,2,B0006,0.002568222815170884,0.003778989426791668,0.022017990252377124,0.06107790308349913,37,0.4801436139826189
NASA,2,2,3,2,B0007,0.0033047370767841735,0.0009445496849366464,0.018522706280346145,0.030170194205467408,32,0.41863308961574847
NASA,2,2,3,2,B0018,0.004448917791402589,0.0034060156904160976,0.03344894176422895,0.05739453332742581,12,0.5107620134949684
NASA,2,2,3,4,B0005,0.0021856619013388727,0.0024986867792904377,0.010080721919111945,0.04988511519983831,51,0.4789093917524311
NASA,2,2,3,4,B0006,0.0036352259657261047,0.0028958600014448166,0.029228731218964635,0.05301347178468828,29,0.47676653278117276
NASA,2,2,3,4,B0007,0.002847637140399052,0.0007133373292163014,0.013958650245926876,0.02634108811335581,32,0.41597894063362706
NASA,2,2,3,4,B0018,0.004108203458599746,0.0030377202977736792,0.03305023301237989,0.05411550963799635,11,0.5264699382166709
NASA,2,2,3,8,B0005,0.0025554700987413526,0.0021446594910230488,0.01525182720152769,0.04605863274811816,44,0.49686096981167793
NASA,2,2,3,8,B0006,0.002934582266871902,0.0029584129030505815,0.031238863122817363,0.0534866915084468,36,0.47769403031894137
NASA,2,2,3,8,B0007,0.002856634505507019,0.001118492498062551,0.022583384639585962,0.03267248911713153,21,0.4140242018350741
NASA,2,2,3,8,B0018,0.0025636439968366176,0.004064851983760794,0.02234999159509262,0.06336323727355216,29,0.5365212644849505
NASA,2,2,4,1,B0005,0.07035302709449422,0.07649719947949052,0.11337623308621739,0.27424766885254404,3,0.6106889766195546
