dataset,model_dim,ks,depth,num_layers,num_heads,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
NASA,32,3,1,3,4,B0006,0.0025777304015884347,0.0030356110461677113,0.021154572820946065,0.05468875061887176,58,0.4178311580266708
NASA,32,3,1,3,4,B0007,0.003446086982472075,0.0009292803355492651,0.02093735427197452,0.029756394799078507,21,0.3624203902919118
NASA,32,3,1,3,4,B0018,0.002585400330038586,0.0028068650669107833,0.024111792332963913,0.052428306043519717,24,0.4492991133169694
NASA,32,7,2,2,4,B0005,0.0014654474534009669,0.0017736476729623973,0.01246259786828125,0.04192989464085494,29,0.4313770459622753
NASA,32,7,2,2,4,B0006,0.0026698656359010124,0.002662245805064837,0.038707293235409536,0.05012404984053639,25,0.41631756358676486
NASA,32,7,2,2,4,B0007,0.002611868264567521,0.0010657291568350047,0.011474207860942527,0.03244323321405147,56,0.3700692339947349
NASA,32,7,2,2,4,B0018,0.006288779336803903,0.003623111949612697,0.028488501502610796,0.05951430503277892,10,0.44747018019358314
NASA,32,2,4,4,4,B0005,0.002388222238302908,0.00179508524161065,0.01018911700514545,0.04224575055109621,40,0.9401630202929179
NASA,32,2,4,4,4,B0006,0.06666244769638235,0.06356041971594095,0.08558265576076785,0.2506551038322073,23,0.934215689814368
NASA,32,2,4,4,4,B0007,0.06316227672828569,0.06533172549679875,0.07134337609759539,0.2546030994413257,36,0.8196865703378405
NASA,32,2,4,4,4,B0018,0.0020504956385896853,0.003642045504723986,0.024332796284452174,0.05985680316781792,45,1.0062458221728985
NASA,32,7,4,3,4,B0005,0.002066407871263271,0.0015934227121761069,0.017215114449838458,0.03954474287532594,39,0.7966365975848699
NASA,32,7,4,3,4,B0006,0.0038216654422946954,0.004133115755394101,0.03059992266633558,0.06355690456654552,17,0.750675832903063
NASA,32,7,4,3,4,B0007,0.0024041245018856395,0.0007843593979487195,0.012973780128682071,0.027704286887148648,80,0.6645720362663269
NASA,32,7,4,3,4,B0018,0.004182581382337958,0.0031097920145839453,0.027131973762645794,0.055101521208937985,25,0.8086049609714084
NASA,32,3,3,3,1,B0005,0.004368311789056117,0.0019840016902890056,0.01229618862054105,0.04437208601740613,44,0.589758388698101
NASA,32,3,3,3,1,B0006,0.003364683488722552,0.0040063705916206045,0.021916074663261814,0.06291533344137264,35,0.5791009599512273
NASA,32,3,3,3,1,B0007,0.0044267507425198955,0.001396768444101326,0.0229283438574515,0.03666329939938364,22,0.5077468043281919
NASA,32,3,3,3,1,B0018,0.001726863811200019,0.0037588992078478136,0.02439823715581195,0.06082246198772843,37,0.6370279788970947
NASA,32,2,4,3,2,B0005,0.0038871611045165496,0.00210616299227695,0.013881463405253584,0.04568252919290705,29,0.6890704145236891
NASA,32,2,4,3,2,B0006,0.0039884045466103335,0.0028276199009269476,0.02341242034491096,0.052657436977453814,22,0.6659833646955944
NASA,32,2,4,3,2,B0007,0.0036213943062143195,0.0010627958283293993,0.01379413219553177,0.03230739871503162,27,0.5928312413235928
NASA,32,2,4,3,2,B0018,0.00407413635790969,0.0031527181078369417,0.030178810319182525,0.05533210656205499,15,0.7314561571393694
NASA,32,5,3,4,4,B0005,0.003076288767095486,0.0025542419534758665,0.01713051379126924,0.050248348116796494,28,0.8484228352705637
NASA,32,5,3,4,4,B0006,0.003655887780372392,0.0036957064488281808,0.021668678628899287,0.060404910399298045,51,0.8288046608508473
NASA,32,5,3,4,4,B0007,0.06347294979625279,0.06962624746374786,0.07660234436913207,0.2627536010598637,22,0.7342552968433925
NASA,32,5,3,4,4,B0018,0.07123615903158982,0.06716948561370373,0.09853947684024918,0.2572906600138371,8,0.8847404803548541
NASA,32,7,3,3,1,B0005,0.0019379625181582842,0.0019242414746258873,0.011421662165661747,0.043717228464433,56,0.6580167412757874
NASA,32,7,3,3,1,B0006,0.0037627396470105105,0.004725958531101544,0.026737221842876097,0.06822368005842927,23,0.6353698553040971
NASA,32,7,3,3,1,B0007,0.0041234237141907215,0.0015083615784533323,0.022258640606068428,0.038194461255283585,22,0.5684992869695028
NASA,32,7,3,3,1,B0018,0.0150014729394267,0.00328203026826183,0.05218699713781639,0.054860569223830834,7,0.6796357896592882
NASA,32,7,2,2,8,B0005,0.0034976590170779013,0.0018621708713908447,0.01232210503125073,0.042976592184596756,28,0.39984361330668133
NASA,32,7,2,2,8,B0006,0.004159787712110715,0.006069918861612678,0.04886265963946467,0.07636205049426077,18,0.40107735834623637
NASA,32,7,2,2,8,B0007,0.002302094841272467,0.0011301032500341535,0.012539878868124467,0.03338230709755268,62,0.3548033586362513
NASA,32,7,2,2,8,B0018,0.0026976323570124805,0.0030781289484972754,0.018682685650997875,0.05516543016985735,22,0.4278842381068638
NASA,32,2,2,3,4,B0005,0.0015344382845796645,0.0019544918613974005,0.010525088323807314,0.044084171200626965,55,0.49980857213338215
NASA,32,2,2,3,4,B0006,0.0034992774863812056,0.003502987946073214,0.033245730471364,0.058244829256528345,31,0.4880007996278651
NASA,32,2,2,3,4,B0007,0.002145982722544836,0.00122318783251103,0.01239267494130587,0.03475384845942683,63,0.4311957704015525
NASA,32,2,2,3,4,B0018,0.003229592247710874,0.002721089772724857,0.021849067575740386,0.05170446321475805,31,0.5347989727469051
NASA,32,2,3,3,8,B0005,0.0019192267950116234,0.0013988291939313058,0.01319545622220509,0.037167421239954354,44,0.5996021144092083
NASA,32,2,3,3,8,B0006,0.0028624657795510507,0.004556854876379172,0.021581860461339628,0.06715859782140068,35,0.5921889045021751
NASA,32,2,3,3,8,B0007,0.004406799510535266,0.0014960170548874885,0.03551852804218988,0.03701162651995388,9,0.5227657104360646
NASA,32,2,3,3,8,B0018,0.0048172237681380166,0.0036852912356456122,0.03811511082412962,0.05949802650974163,17,0.6377355085836874
NASA,32,3,3,4,4,B0005,0.0009256619166328826,0.000941807735216571,0.013466597935140417,0.03039198572796737,86,0.7963219971027015
NASA,32,3,3,4,4,B0006,0.0029476969079537826,0.003637969338645538,0.02877718198296552,0.05962513462108267,24,0.7890579158609564
NASA,32,3,3,4,4,B0007,0.06391566743453343,0.0693934184499085,0.07829116644029341,0.2622603055086673,43,0.6862304437728155
NASA,32,3,3,4,4,B0018,0.0021866775544670722,0.0034116694587282836,0.025007397498934898,0.05787168968689701,54,0.8444786458402067
NASA,64,7,4,3,1,B0005,0.06654022904959592,0.07516256021335721,0.07947963836243592,0.2730034030572406,22,0.7725051187333607
NASA,64,7,4,3,1,B0006,0.00331048217644407,0.004456492296109597,0.02165740432526688,0.06640472889541846,48,0.7519068016725428
NASA,64,7,4,3,1,B0007,0.06380086350772116,0.06932842815294862,0.07334478916556382,0.2622793982181471,41,0.6538493125165095
